Dose,Days,pH(KCl),S(w),Ca (w),Fe(w),Zn (w),Sr(w),Ba(w),P(w),K(w),Na (w),Mg(w),F(w),S(m),Ca (m),Fe(m),Zn (m),Sr(m),Ba(m),P(m),K(m),Na (m),Mg(m),FDA,AP,URE,DHA,SIR,SBR,E.fetida,S.alba ,A.sativa ,FDA_n,AP_n,URE_n,DHA_n,SIR_n,SBR_n,E.fetida_n,S.alba _n,A.sativa_n
1,7,4.9,1756.99,1360.806,10.403,0.272,56.764,3.112,5.443,26.037,35.418,77.739,0.4738,120.743,1027.561,0.678,3.417,45.892,3.669,7.207,33.063,8.924,52.004,35.44,195.08,325.4,20.56,3.94,0.98,10,3.64,2.65,97.95467109,88.27149321,68.17229532,65.82337838,72.55985267,52.12765957,100,71.09375,73.61111111
1,7,4.9,1756.99,1360.806,10.403,0.272,56.764,3.112,5.443,26.037,35.418,77.739,0.4738,120.743,1027.561,0.678,3.417,45.892,3.669,7.207,33.063,8.924,52.004,33.12,199,311.45,20.45,3.56,0.91,10,3.42,2.99,91.54228856,90.04524887,65.24972765,65.4712105,65.56169429,48.40425532,100,66.796875,83.05555556
1,7,4.9,1756.99,1360.806,10.403,0.272,56.764,3.112,5.443,26.037,35.418,77.739,0.4738,120.743,1027.561,0.678,3.417,45.892,3.669,7.207,33.063,8.924,52.004,36.57,193.1,314.56,20.35,3.95,0.9,10,3.98,2.8,101.0779436,87.37556561,65.90128216,65.15105788,72.74401473,47.87234043,100,77.734375,77.77777778
1,28,5,2165.740005,1768.599418,12.89647869,0.552025417,81.26820228,3.849616097,5.717500662,29.22954726,27.91898332,70.43950225,0.296,141.6438891,918.9769621,1.413510348,6.094299102,44.76766888,12.12417025,11.52869973,29.44162437,10.65989848,63.07106599,28.77,231.3,268.45,18.16,2.83,0.77,9,4.8,2.4,79.51907131,104.6606335,56.24109612,58.13971554,52.11786372,40.95744681,90,93.75,66.66666667
1,28,5,2165.740005,1768.599418,12.89647869,0.552025417,81.26820228,3.849616097,5.717500662,29.22954726,27.91898332,70.43950225,0.296,141.6438891,918.9769621,1.413510348,6.094299102,44.76766888,12.12417025,11.52869973,29.44162437,10.65989848,63.07106599,28.11,241.65,269.1,18,2.82,0.89,9,4.5,2.14,77.69485904,109.3438914,56.37727311,57.62747135,51.93370166,47.34042553,90,87.890625,59.44444444
1,28,5,2165.740005,1768.599418,12.89647869,0.552025417,81.26820228,3.849616097,5.717500662,29.22954726,27.91898332,70.43950225,0.296,141.6438891,918.9769621,1.413510348,6.094299102,44.76766888,12.12417025,11.52869973,29.44162437,10.65989848,63.07106599,29.32,231.15,271.14,18.51,2.8,0.64,9,4.7,2.46,81.0392482,104.5927602,56.80465935,59.2602497,51.56537753,34.04255319,90,91.796875,68.33333333
1,28,5.1,2625.588697,2377.027734,26.6614338,0.081985871,100.2223967,3.483778127,9.434850863,57.54840398,60.23024594,133.1763475,0.2525,316.952593,1158.001572,3.021215296,2.90531692,55.77854898,15.06678889,15.14536406,29.99607124,26.136066,59.28496595,29.91,213.8,330.56,14.57,3.81,1.53,9,4.2,1.81,82.66998342,96.74208145,69.2533311,46.64623653,70.16574586,81.38297872,90,82.03125,50.27777778
1,28,5.1,2625.588697,2377.027734,26.6614338,0.081985871,100.2223967,3.483778127,9.434850863,57.54840398,60.23024594,133.1763475,0.2525,316.952593,1158.001572,3.021215296,2.90531692,55.77854898,15.06678889,15.14536406,29.99607124,26.136066,59.28496595,29.89,213.45,336.13,15.6,3.31,1.5,9,4.6,1.84,82.61470426,96.58371041,70.42026314,49.9438085,60.95764273,79.78723404,90,89.84375,51.11111111
1,28,5.1,2625.588697,2377.027734,26.6614338,0.081985871,100.2223967,3.483778127,9.434850863,57.54840398,60.23024594,133.1763475,0.2525,316.952593,1158.001572,3.021215296,2.90531692,55.77854898,15.06678889,15.14536406,29.99607124,26.136066,59.28496595,29.01,214.6,312.45,15.99,3.67,1.34,9,4.8,1.88,80.18242123,97.1040724,65.4592307,51.19240371,67.58747698,71.27659574,90,93.75,52.22222222
1,28,4.9,2399.841333,2144.651593,25.21486183,0.739653577,90.77085813,3.482744942,8.935607563,58.2969721,64.00899114,136.4537882,0.3098,339.4726381,1285.941434,3.035974559,6.601629787,62.16046111,17.48045581,17.10282231,32.44666755,0,57.0624089,21.35,250.1,421.77,20.56,2.09,0.81,7,4.2,2.1,59.01050304,113.1674208,88.36210509,65.82337838,38.48987109,43.08510638,70,82.03125,58.33333333
1,28,4.9,2399.841333,2144.651593,25.21486183,0.739653577,90.77085813,3.482744942,8.935607563,58.2969721,64.00899114,136.4537882,0.3098,339.4726381,1285.941434,3.035974559,6.601629787,62.16046111,17.48045581,17.10282231,32.44666755,0,57.0624089,21.18,253.1,415.65,20.41,2.21,0.84,7,4.11,1.5,58.54063018,114.5248869,87.07994637,65.34314946,40.69981584,44.68085106,70,80.2734375,41.66666667
1,28,4.9,2399.841333,2144.651593,25.21486183,0.739653577,90.77085813,3.482744942,8.935607563,58.2969721,64.00899114,136.4537882,0.3098,339.4726381,1285.941434,3.035974559,6.601629787,62.16046111,17.48045581,17.10282231,32.44666755,0,57.0624089,20.23,262.71,416.63,20.51,2.18,0.82,6,4.31,1.8,55.91487009,118.8733032,87.28525936,65.66330207,40.14732965,43.61702128,60,84.1796875,50
3,7,4.2,5398.56,4566.782,45.721,1.123,192.482,4.058,21.114,70.061,101.573,173.954,0.583,1170.688,2276.393,13.646,3.305,154.259,10.077,33.981,38.32,6.038,63.703,28.91,219.04,248.19,9.63,4.14,1.06,9,4.7,3.8,79.90602543,99.11312217,51.99656415,30.83069717,76.24309392,56.38297872,90,91.796875,105.5555556
3,7,4.2,5398.56,4566.782,45.721,1.123,192.482,4.058,21.114,70.061,101.573,173.954,0.583,1170.688,2276.393,13.646,3.305,154.259,10.077,33.981,38.32,6.038,63.703,28.79,216.76,212.35,19.82,4.17,1,9,4,3.7,79.57435047,98.08144796,44.48797452,63.45424901,76.79558011,53.19148936,90,78.125,102.7777778
3,7,4.2,5398.56,4566.782,45.721,1.123,192.482,4.058,21.114,70.061,101.573,173.954,0.583,1170.688,2276.393,13.646,3.305,154.259,10.077,33.981,38.32,6.038,63.703,28.95,214.56,210.95,10.54,4.51,1.02,9,5.2,3.6,80.01658375,97.08597285,44.19467024,33.744086,83.05709024,54.25531915,90,101.5625,100
3,7,4.1,5709.397,4871.019,47.736,0.151,200.447,3.475,21.361,69.926,95.973,163.596,0.613,1098.644,2355.225,15.359,3.461,175.112,12.082,35.111,43.719,8.206,63.332,45.7602427,262.54,285.34,18.5,4.91,1,9,3.91,1.8,126.4793883,118.7963801,59.77960278,59.22823444,90.42357274,53.19148936,90,76.3671875,50
3,7,4.1,5709.397,4871.019,47.736,0.151,200.447,3.475,21.361,69.926,95.973,163.596,0.613,1098.644,2355.225,15.359,3.461,175.112,12.082,35.111,43.719,8.206,63.332,36.18,266.71,269.8,18.2,4.64,1,9,3.65,2,100,120.6832579,56.52392525,58.26777658,85.45119705,53.19148936,90,71.2890625,55.55555556
3,7,4.1,5709.397,4871.019,47.736,0.151,200.447,3.475,21.361,69.926,95.973,163.596,0.613,1098.644,2355.225,15.359,3.461,175.112,12.082,35.111,43.719,8.206,63.332,39.54,270.58,166.74,18.71,4.97,1,9,3.99,2.1,109.2868988,122.4343891,34.93254002,59.90055494,91.52854512,53.19148936,90,77.9296875,58.33333333
3,7,4.3,5260.361,5446.334,55.619,0.842,235.122,2.402,35.414,99.562,110.64,174.681,0.7486,1180.592,2264.546,12.673,2.664,162.294,13.29,30.426,36.504,6.318,59.647,27.3,212.67,170.43,18.53,4.03,1,9,3.9,3.6,75.45605307,96.23076923,35.7056063,59.32428023,74.21731123,53.19148936,90,76.171875,100
3,7,4.3,5260.361,5446.334,55.619,0.842,235.122,2.402,35.414,99.562,110.64,174.681,0.7486,1180.592,2264.546,12.673,2.664,162.294,13.29,30.426,36.504,6.318,59.647,39.81,214.58,178.84,19.38,4.11,0.99,7,3.5,3.5,110.0331675,97.09502262,37.46752703,62.04557748,75.69060773,52.65957447,70,68.359375,97.22222222
3,7,4.3,5260.361,5446.334,55.619,0.842,235.122,2.402,35.414,99.562,110.64,174.681,0.7486,1180.592,2264.546,12.673,2.664,162.294,13.29,30.426,36.504,6.318,59.647,24.5,210.63,170.35,23.18,4.15,1,7,3.4,2.9,67.7169707,95.30769231,35.68884606,74.21137699,76.42725599,53.19148936,70,66.40625,80.55555556
3,28,4.1,5510.122536,4429.941396,42.80767182,0.426345232,186.0681939,5.127863612,21.43047416,90.03729355,102.0245072,246.8034097,0.5035,1158.691016,2350.373234,11.55691816,4.986670221,157.4580112,23.24380165,31.24166889,44.05825113,4.283857638,56.264996,39.57942551,294.5065595,364.7269816,22.11,3.349801728,0.8938748,8,4.6,2.6,109.3958693,133.2608866,76.41141825,70.78574397,61.69063956,47.54653191,80,89.84375,72.22222222
3,28,4.1,5510.122536,4429.941396,42.80767182,0.426345232,186.0681939,5.127863612,21.43047416,90.03729355,102.0245072,246.8034097,0.5035,1158.691016,2350.373234,11.55691816,4.986670221,157.4580112,23.24380165,31.24166889,44.05825113,4.283857638,56.264996,40.11,298.76,371.23,17.45,3.34,0.99,9,4.7,2.7,110.8623549,135.1855204,77.7738205,55.86663194,61.51012891,52.65957447,90,91.796875,75
3,28,4.1,5510.122536,4429.941396,42.80767182,0.426345232,186.0681939,5.127863612,21.43047416,90.03729355,102.0245072,246.8034097,0.5035,1158.691016,2350.373234,11.55691816,4.986670221,157.4580112,23.24380165,31.24166889,44.05825113,4.283857638,56.264996,38.17,289.13,365.98,18.43,3.4,1,8,4.65,2.8,105.5002764,130.8280543,76.67392944,59.00412761,62.61510129,53.19148936,80,90.8203125,77.77777778
3,28,4.4,5949.986769,5108.494311,41.59830643,1.581106113,223.3395078,3.756284731,23.22042868,71.75178619,96.08362001,163.2707065,0.6166,1095.683074,1981.113451,8.85232956,4.591010792,148.3614109,19.49526191,33.83785207,36.09831535,5.891023954,52.15846275,25.59224355,259.4011897,264.9753987,11.67,4.693992576,1.24035184,9,4.4,2.2,70.735886,117.3761039,55.51315651,37.36181059,86.44553547,65.9761617,90,85.9375,61.11111111
3,28,4.4,5949.986769,5108.494311,41.59830643,1.581106113,223.3395078,3.756284731,23.22042868,71.75178619,96.08362001,163.2707065,0.6166,1095.683074,1981.113451,8.85232956,4.591010792,148.3614109,19.49526191,33.83785207,36.09831535,5.891023954,52.15846275,27.18,287.645,289.54,13.28,4.51,1.12,9,4.32,2.3,75.12437811,130.1561086,60.65951563,42.51626775,83.05709024,59.57446809,90,84.375,63.88888889
3,28,4.4,5949.986769,5108.494311,41.59830643,1.581106113,223.3395078,3.756284731,23.22042868,71.75178619,96.08362001,163.2707065,0.6166,1095.683074,1981.113451,8.85232956,4.591010792,148.3614109,19.49526191,33.83785207,36.09831535,5.891023954,52.15846275,26.14,284.67,275.14,14.44,4.16,1.14,8,4.31,2.3,72.2498618,128.8099548,57.64267158,46.23003813,76.61141805,60.63829787,80,84.1796875,63.88888889
3,28,4.1,5083.443709,4446.357616,39.54966887,0.211523179,194.7019868,3.695364238,19.25827815,72.38410596,90.64900662,157.8807947,0.6413,942.4814028,1993.557386,10.41113177,5.629981403,137.9848565,22.14731668,37.20111583,42.16259299,7.816817216,60.87274176,29.02262197,259.7003924,164.3557199,15.56,3.871305984,0.933308133,8,4.7,2.2,80.21730782,117.5114898,34.43302603,49.81574745,71.2947695,49.64404965,80,91.796875,61.11111111
